"X","clo","tOut","tInOp","sex","subjId","time","day","time2","subDay"
1,0.712537218269426,17.2672,22.28525041,"female","0",0,1,1,0
2,0.714081026953645,20.7,24.5723027,"female","0",1.18333333333333,1,2,0
3,0.710845716339536,20.54773333,25.55076541,"female","0",2.68333333333333,1,3,0
4,0.712555565044749,21.9,26.40068665,"female","0",4.08333333333333,1,4,0
5,0.712499651180115,21.5208,26.66522133,"female","0",5.15,1,5,0
6,0.713716262099333,20.99016667,27.18360916,"female","0",6.73333333333333,1,6,0
7,0.812366080514621,14.0004,23.99907469,"female","0",0,2,1,1
8,0.806294583834242,16.75316667,25.27592077,"female","0",1.08333333333333,2,2,1
9,0.807832402188797,18.29815,26.21257117,"female","0",2.6,2,3,1
10,0.812368080443703,18.40266667,26.37049263,"female","0",3.95,2,4,1
11,0.808497057494242,19.32161667,26.94404679,"female","0",5.1,2,5,1
12,0.813172838240862,19.5,27.20148625,"female","0",6.6,2,6,1
13,0.683258496108465,16.69203333,24.16892466,"female","0",0,3,1,2
14,0.675486907700542,18.10095,25.53036967,"female","0",1.16666666666667,3,2,2
15,0.675448102355003,19.34203333,25.09543409,"female","0",2.71666666666667,3,3,2
16,0.680056859441102,18.9416,25.25030653,"female","0",4.03333333333334,3,4,2
17,0.681229119529016,20.99258333,26.57250232,"female","0",5.11666666666667,3,5,2
18,0.679116498425137,21.6,26.77706483,"female","0",6.68333333333334,3,6,2
19,0.650294567258097,14.70021667,23.11101578,"female","1",0,1,1,3
20,0.653083008413669,15.70115,22.88766907,"female","1",1.18333333333333,1,2,3
21,0.65413500810042,15.2581,23.03144324,"female","1",2.55,1,3,3
22,0.651905790073797,16.65636667,23.1795283,"female","1",3.96666666666667,1,4,3
23,0.650841315747239,18.5522,23.30329175,"female","1",5.15,1,5,3
24,0.653813171396032,18.47575,23.46416386,"female","1",6.68333333333333,1,6,3
25,0.645625739945099,14.0489,23.98094678,"female","1",0,2,1,4
26,0.896482742105145,17.02675,24.2758573,"female","1",1.11666666666667,2,2,4
27,0.900374999616761,18.3327,24.67495822,"female","1",2.61666666666667,2,3,4
28,0.653151579857804,18.4,25.03312191,"female","1",3.95,2,4,4
29,0.648585112513974,19.8241,25.36860018,"female","1",5.21666666666667,2,5,4
30,0.654289826594759,19.43695,25.72683777,"female","1",6.56666666666667,2,6,4
31,0.530919494091068,22.3349,24.72311688,"female","1",0,3,1,5
32,0.528646939110477,24.80883333,25.15292101,"female","1",1.26666666666667,3,2,5
33,0.531940672255587,25.7937,26.52073835,"female","1",2.8,3,3,5
34,0.526396109778434,27.7462,27.7362538,"female","1",4.18333333333333,3,4,5
35,0.530923295624089,28.27333333,28.1644058,"female","1",5.4,3,5,5
36,0.528311107358895,28.01453333,28.64477519,"female","1",6.83333333333333,3,6,5
37,0.766615191726014,9.984666667,24.14766836,"female","2",0,1,1,6
38,0.767070591631345,12.17268333,25.1749534,"female","2",1.26666666666667,1,2,6
39,0.765502606928349,15.21566667,26.60257714,"female","2",2.81666666666667,1,3,6
40,0.967364836602937,15.8,24.13214681,"female","2",3.98333333333334,1,4,6
41,0.973225918204989,16.77471667,23.49742872,"female","2",5.45000000000001,1,5,6
42,0.96522289239103,17.2988,23.78227186,"female","2",6.80000000000001,1,6,6
43,0.953672884227708,13.1426,24.60271159,"female","2",0,2,1,7
44,0.949395134258084,14.30033333,25.48116859,"female","2",1.2,2,2,7
45,0.907781398564111,16.328,26.33664891,"female","2",2.58333333333333,2,3,7
46,0.830732165412046,17.55656667,26.73672381,"female","2",3.98333333333333,2,4,7
47,0.829991258201189,18.1,26.4216949,"female","2",5.08333333333333,2,5,7
48,0.830262210150249,17.7128,27.34504039,"female","2",6.73333333333333,2,6,7
49,0.720477038389072,13.55891667,24.00460216,"female","2",0,3,1,8
50,0.715066115099471,16.6756,24.25585754,"female","2",1.05,3,2,8
51,0.721848686067387,18.32933333,25.07617388,"female","2",2.66666666666667,3,3,8
52,0.522654162826948,19.58353333,26.62640813,"female","2",3.93333333333334,3,4,8
53,0.723816572758369,20.1922,24.64544043,"female","2",5.06666666666667,3,5,8
54,0.716839135289192,21.76558333,25.44736618,"female","2",6.56666666666667,3,6,8
55,0.558713378130924,16.5195,22.36557499,"female","3",0,1,1,9
56,0.55552806989057,18.55133333,25.65702627,"female","3",1.23333333333333,1,2,9
57,0.558414371635299,20,27.13526357,"female","3",2.71666666666666,1,3,9
58,0.555566814087797,21.4,27.88957639,"female","3",3.89999999999999,1,4,9
59,0.562137299980968,21.49836667,28.50670534,"female","3",5.13333333333332,1,5,9
60,0.562379134993535,23.34891667,30.5516075,"female","3",6.63333333333332,1,6,9
61,0.557742993144784,18.76873333,25.36345567,"female","3",0,2,1,10
62,0.556110269920901,21.2956,26.38776641,"female","3",1.16666666666667,2,2,10
63,0.557202996914275,24.5239,27.63596428,"female","3",2.65,2,3,10
64,0.556377421182115,26.4864,27.38183691,"female","3",3.78333333333333,2,4,10
65,0.562596329979133,27.19693333,27.23718449,"female","3",5.23333333333333,2,5,10
66,0.556055879567284,27.48615,27.51818593,"female","3",6.58333333333333,2,6,10
67,0.626719566783868,19.01346667,23.98244728,"female","3",0,3,1,11
68,0.628309197565541,22.3386,24.86047093,"female","3",1.26666666666667,3,2,11
69,0.627980169758666,24.48826667,26.25066039,"female","3",2.78333333333334,3,3,11
70,0.629489080689382,25.8,27.63244708,"female","3",3.98333333333334,3,4,11
71,0.629904031879269,26.6895,27.58526197,"female","3",5.28333333333334,3,5,11
