"","clo","tOut","tInOp","sex","subjId","time","day"
"90",0.34,25.629,29.54301475,"male",35,1.5,3
"91",0.68,15.28833333,26.21802121,"male",35,0,4
"92",0.68,17.8868,26.66880675,"male",35,1.11666666666667,4
"93",0.68,18.3605,27.54585703,"male",35,1.55,4
"94",0.48,19.6955,28.38013948,"male",35,1.26666666666667,4
"95",0.48,21.1058,29.3289493,"male",35,1.23333333333333,4
"96",0.48,19.50866667,29.93758475,"male",35,1.75,4
"97",0.86,19.8378,24.27893031,"female",43,0,1
"98",0.86,24.85733333,27.36886888,"female",43,2.75,1
"99",0.51,26.195,27.55848565,"female",43,1.23333333333333,1
"100",0.86,26.95703333,27.96653092,"female",43,1.31666666666667,1
"101",0.86,28.3,28.19621391,"female",43,1.48333333333333,1
"102",0.31,23.99816667,26.16214481,"female",43,0,2
"103",0.31,26.3635,26.77708751,"female",43,1.21666666666667,2
"104",0.31,32.6585,28.50095106,"female",43,1.5,2
"105",0.28,35.2196,30.13268512,"female",43,1.25,2
"106",0.28,35.24616667,31.6977094,"female",43,1.25,2
"107",0.31,35.37166667,32.1971762,"female",43,1.51666666666667,2
"108",0.73,25.33316667,27.10023898,"female",43,0,3
"109",0.73,28.29385,28.57748308,"female",43,1.43333333333333,3
"110",0.73,30.08783333,29.68397267,"female",43,1.3,3
"111",0.73,30.78646667,30.2513248,"female",43,1.35,3
"112",0.48,30.5488,30.71229324,"female",43,1.25,3
"113",0.48,29.52976667,30.99853416,"female",43,1.46666666666667,3
"114",0.47,19.8678,26.78332094,"female",47,0,1
"115",0.47,19.93416667,27.57664488,"female",47,0.983333333333333,1
"116",0.47,22.38866667,29.67173405,"female",47,1.48333333333333,1
"117",0.47,21.3,29.53450704,"female",47,1.23333333333333,1
"118",0.47,24.5706,31.060978,"female",47,1.38333333333333,1
"119",0.47,19.46416667,30.96276962,"female",47,1.3,1
"120",0.66,20.54766667,26.16723445,"female",47,0,2
"121",0.66,23.50208333,26.9979235,"female",47,1.31666666666667,2
"122",0.66,25.7,28.02411609,"female",47,1.41666666666667,2
"123",0.66,24.84833333,28.54353825,"female",47,1.3,2
"124",0.62,25.6052,29.28440557,"female",47,1.21666666666667,2
"125",0.62,25.73376667,29.78894695,"female",47,1.53333333333333,2
